,feature,value,model,dataset
7361,ENSG00000143546,1.3495681447453598,cBoost,pData_Imputed
3052,ENSG00000107560,1.3052403912077257,cBoost,pData_Imputed
8206,ENSG00000151572,1.2711370818063246,cBoost,pData_Imputed
7809,ENSG00000147256,1.2691864274193059,cBoost,pData_Imputed
260,ENSG00000011243,1.2135398810833982,cBoost,pData_Imputed
4997,ENSG00000125409,1.2084751015694875,cBoost,pData_Imputed
6172,ENSG00000135318,1.1900994682004964,cBoost,pData_Imputed
7741,ENSG00000146674,1.1891065337694402,cBoost,pData_Imputed
11311,ENSG00000171867,1.1731841480357204,cBoost,pData_Imputed
1252,ENSG00000077254,1.1176696646862745,cBoost,pData_Imputed
8706,ENSG00000156521,1.1125130115119723,cBoost,pData_Imputed
4917,ENSG00000124587,1.1101244863048738,cBoost,pData_Imputed
1105,ENSG00000072858,1.0655192859728957,cBoost,pData_Imputed
5948,ENSG00000133895,1.0526199192437011,cBoost,pData_Imputed
6605,ENSG00000137809,1.0078146531949939,cBoost,pData_Imputed
12711,ENSG00000182983,0.9884813436296912,cBoost,pData_Imputed
908,ENSG00000067066,0.9813873261670792,cBoost,pData_Imputed
11408,ENSG00000172500,0.933914910332699,cBoost,pData_Imputed
6174,ENSG00000135333,0.9337373635326846,cBoost,pData_Imputed
11786,ENSG00000175198,0.9238486115972802,cBoost,pData_Imputed
14082,ENSG00000198478,0.8891058221527572,cBoost,pData_Imputed
2934,ENSG00000106367,0.870072873270161,cBoost,pData_Imputed
2800,ENSG00000105576,0.8228562092533949,cBoost,pData_Imputed
8330,ENSG00000152661,0.8068071763532437,cBoost,pData_Imputed
14003,ENSG00000198055,0.7943346622907216,cBoost,pData_Imputed
10500,ENSG00000167617,0.7817966764285426,cBoost,pData_Imputed
397,ENSG00000024526,0.7773426676924072,cBoost,pData_Imputed
9460,ENSG00000163110,0.7772611097136004,cBoost,pData_Imputed
3197,ENSG00000108821,0.7755571534437324,cBoost,pData_Imputed
5009,ENSG00000125485,0.7719273493995957,cBoost,pData_Imputed
13846,ENSG00000197208,0.7667941845553303,cBoost,pData_Imputed
11765,ENSG00000175063,0.7571510431466846,cBoost,pData_Imputed
6015,ENSG00000134291,0.7448447480543086,cBoost,pData_Imputed
3264,ENSG00000109472,0.7242748964431364,cBoost,pData_Imputed
4787,ENSG00000123485,0.7194213337505277,cBoost,pData_Imputed
2347,ENSG00000101966,0.7114143826465288,cBoost,pData_Imputed
317,ENSG00000014257,0.7002961507412837,cBoost,pData_Imputed
6529,ENSG00000137310,0.6819334261870763,cBoost,pData_Imputed
597,ENSG00000049246,0.6816537429718251,cBoost,pData_Imputed
9687,ENSG00000163939,0.6667231718672809,cBoost,pData_Imputed
