"","feature","value","dataset","model_class"
"165","ENSG00000104946",3.39780671575474e-05,"Intersection","RSF"
"166","ENSG00000105048",2.97308087628956e-05,"Intersection","RSF"
"167","ENSG00000105058",4.24725839465179e-06,"Intersection","RSF"
"168","ENSG00000105171",3.82253255523102e-05,"Intersection","RSF"
"169","ENSG00000105339",9.76869430782124e-05,"Intersection","RSF"
"170","ENSG00000105404",0.00133788639433241,"Intersection","RSF"
"171","ENSG00000105427",0.000229351953314083,"Intersection","RSF"
"172","ENSG00000105509",9.76869430782124e-05,"Intersection","RSF"
"173","ENSG00000105518",0.00033553341318171,"Intersection","RSF"
"174","ENSG00000105671",9.76869430782124e-05,"Intersection","RSF"
"175","ENSG00000105717",1.27417751840664e-05,"Intersection","RSF"
"176","ENSG00000105991",0.000216610178130017,"Intersection","RSF"
"177","ENSG00000106070",0.000220857436524668,"Intersection","RSF"
"178","ENSG00000106397",0.00122745767607002,"Intersection","RSF"
"179","ENSG00000106483",0.000921655071651206,"Intersection","RSF"
"180","ENSG00000106541",1.69890335788292e-05,"Intersection","RSF"
"181","ENSG00000106692",0.000921655071651206,"Intersection","RSF"
"182","ENSG00000106819",1.27417751840664e-05,"Intersection","RSF"
"183","ENSG00000106927",0.000577627141679971,"Intersection","RSF"
"184","ENSG00000107438",1.27417751840664e-05,"Intersection","RSF"
"185","ENSG00000107669",0.000144406785419937,"Intersection","RSF"
"186","ENSG00000107672",0.000157148560604115,"Intersection","RSF"
"187","ENSG00000107731",0.00048418745699641,"Intersection","RSF"
"188","ENSG00000107816",8.49451678940349e-05,"Intersection","RSF"
"189","ENSG00000108239",0.00024209372849826,"Intersection","RSF"
"190","ENSG00000108591",0.000382253255523546,"Intersection","RSF"
"191","ENSG00000108666",6.3708875920554e-05,"Intersection","RSF"
"192","ENSG00000108774",8.4945167894146e-06,"Intersection","RSF"
"193","ENSG00000108961",0.000543649074522312,"Intersection","RSF"
"194","ENSG00000109063",0.000246340986892912,"Intersection","RSF"
"195","ENSG00000109065",0.000496929232180587,"Intersection","RSF"
"196","ENSG00000109163",2.1236291973481e-05,"Intersection","RSF"
"197","ENSG00000109180",4.2472583946962e-05,"Intersection","RSF"
"198","ENSG00000109320",8.91924262887978e-05,"Intersection","RSF"
"199","ENSG00000109390",1.69890335788292e-05,"Intersection","RSF"
"200","ENSG00000109736",0.000641336017600636,"Intersection","RSF"
"201","ENSG00000109927",2.97308087628956e-05,"Intersection","RSF"
"202","ENSG00000110711",0.000352522446760539,"Intersection","RSF"
"203","ENSG00000110719",8.49451678940349e-05,"Intersection","RSF"
"204","ENSG00000110851",2.97308087628956e-05,"Intersection","RSF"
"205","ENSG00000111229",0.000590368916864148,"Intersection","RSF"
"206","ENSG00000111300",0.000394995030707612,"Intersection","RSF"
"207","ENSG00000111319",0.000293060829234637,"Intersection","RSF"
"208","ENSG00000111335",0.000399242289102375,"Intersection","RSF"
"209","ENSG00000111615",0.00018687936936701,"Intersection","RSF"
